source_x,title,abstract,publish_time,authors,journal
WHO,Anti-pandemic lessons and altruistic behavior from major world religions at the time of COVID-19,,2021,"Bouayed, Jaouad; Hefeng, Feng Q; Desai, Mahesh S; Zhou, Bin; Rashi, Tsuriel; Soulimani, Rachid; Bohn, Torsten",Brain behav. immun
Medline; WHO,Current Recommendations on Returning to Youth Sports After COVID-19 Infection,"Children represent a small fraction of total cumulative cases of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection. The potential health consequences related to infection for children are not inconsequential. For example, some may develop multisystem inflammatory syndrome in children, which is commonly associated with cardiovascular involvement. Nevertheless, the short- and long-term effects of SARS-CoV-2 infection remain unknown. In particular, the impact on physical health and how it affects one's ability to return to physical activity are continuously evolving. As more youth sports organizations are lifting restrictions, the volume of youth athletes will increase and the demand for providing medical clearance will grow. This article aims to provide a review of return to physical activity guidelines for young athletes post-SARS-CoV-2 infection based on expert consensus statements and professional organization recommendations. [Pediatr Ann. 2021;50(11):e461-e464.].",2021,"Le, Hung M; Stracciolini, Andrea",Pediatr Ann
WHO,"Socio-economic factors do also matter: comments on the article ""can climatic factors explain the differences in COVID-19 incidence and severity across the SPANISH regions?: an ecological study""","Phosri et al., commented on our previous study about the influence of climate variables at the beginning of the SARS-CoV-2 pandemic in Spain. They showed the impact of the association of gross domestic product (GDP) with the cumulative COVID-19 incidence per 105 inhabitants in our country and the rise of several methodologic issues. Here we discussed the main advantages and disadvantages of ecological studies and we advocate to test the hypothesis created in this type of studies using individual-level research designs.",2021,"Cacho, Pedro Muñoz; Hernández, José L; López-Hoyos, Marcos; Martínez-Taboada, Víctor M",Environ Health
WHO,What Happened to Patients With Obsessive Compulsive Disorder During the COVID-19 Pandemic? A Multicentre Report From Tertiary Clinics in Northern Italy,"After the outbreak of Coronavirus disease was declared a pandemic by the World Health Organization, this resulted in extraordinary public health measures to control the infection, such as entire countries being placed under quarantine. The psychopathological consequences of the pandemic and quarantine were anticipated to be of particular relevance, especially in patients with psychiatric disorders such as Obsessive Compulsive Disorder (OCD). Aim of the present report was to describe the impact of COVID-19 pandemics within a sample of Italian patients affected by OCD. Sociodemographic and clinical variables of a sample of 123 OCD outpatients, currently attending three OCD tertiary clinics in Northern Italy, were assessed through telephone and in-person interviews. Patients showing a clinical worsening of OCD represented more than one third of the sample and reported a significant emergence of new obsessions and compulsions phenotypes along with a significant exacerbation of past ones. Moreover, they were more frequently found to experience suicidal ideation, increased Internet checking, sleep disturbances, avoidance behaviors, and work difficulties. A significantly increased need of therapy adjustment and family accommodation was also observed. Further research is warranted to clarify the potential risk and related consequences of the current COVID-19 pandemic on OCD patients.",2020,"Benatti, Beatrice; Albert, Umberto; Maina, Giuseppe; Fiorillo, Andrea; Celebre, Laura; Girone, Nicolaja; Fineberg, Naomi; Bramante, Stefano; Rigardetto, Sylvia; Dell’Osso, Bernardo",Front. Psychiatry
WHO,Corona-Pandemie: Non-COVID-19-Klinikaufnahmen und -Mortalität in Dänemark,,2021,"Gappa, B.",Deutsche Medizinische Wochenschrift
WHO,"Chapter 4.4 - New millennium, new directions: 2000–2020","The new millennium brought momentous changes to the poison control movement. Poison Control Centers (PCCs) now provided services covering almost 100% of the US population. Federal funding helped to stabilize PCCs. The provision of a nationwide toll-free telephone number was key to forming a more cohesive network. Expanded public health roles for the PCC network included real-time poisoning surveillance and disaster preparedness. More effective educational outreach was possible via entry into the “virtual” community of social media websites. A number of advances changed PCC operations and education in clinical toxicology: enhanced Internet connectivity and bandwidth, the advent of artificial intelligence and simulation tools, advanced telecommunications, and the proliferation of smartphones. The public’s real-time access to toxicological information in an emergency now includes Internet-based automated options. The future holds many challenges: new hazardous products, new pharmaceuticals, new chemicals, and new environmental exposures, as clinical toxicologists and PCCs adapt to this new age.",2022,"Woolf, Alan D.",History of Modern Clinical Toxicology
WHO,Coronavirus Covid-19. 101 fiches pratiques pour connaître la maladie et s'en prémunir,,2020,,Rev Infirm
WHO,Mitoquinone mesylate targets SARS-CoV-2 and associated lung inflammation through host pathways,"To date, there is no effective oral antiviral against SARS-CoV-2 that is also anti-inflammatory. Herein, we show that the mitochondrial antioxidant mitoquinone/mitoquinol mesylate (Mito-MES), a dietary supplement, has potent antiviral activity against SARS-CoV-2 and its variants of concern in vitro and in vivo. Mito-MES had nanomolar in vitro antiviral potency against the Beta and Delta SARS-CoV-2 variants as well as the murine hepatitis virus (MHV-A59). Mito-MES given in SARS-CoV-2 infected K18-hACE2 mice through oral gavage reduced viral titer by nearly 4 log units relative to the vehicle group. We found in vitro that the antiviral effect of Mito-MES is attributable to its hydrophobic dTPP+ moiety and its combined effects scavenging reactive oxygen species (ROS), activating Nrf2 and increasing the host defense proteins TOM70 and MX1. Mito-MES was efficacious reducing increase in cleaved caspase-3 and inflammation induced by SARS-CoV2 infection both in lung epithelial cells and a transgenic mouse model of COVID-19. Mito-MES reduced production of IL-6 by SARS-CoV-2 infected epithelial cells through its antioxidant properties (Nrf2 agonist, coenzyme Q10 moiety) and the dTPP moiety. Given established safety of Mito-MES in humans, our results suggest that Mito-MES may represent a rapidly applicable therapeutic strategy that can be added in the therapeutic arsenal against COVID-19. Its potential long-term use by humans as diet supplement could help control the SARS-CoV-2 pandemic, especially in the setting of rapidly emerging SARS-CoV-2 variants that may compromise vaccine efficacy. One-Sentence SummaryMitoquinone/mitoquinol mesylate has potent antiviral and anti-inflammatory activity in preclinical models of SARS-CoV-2 infection.",2022,"Petcherski, Anton; Sharma, Madhav; Daskou, Maria; Satta, Sandro; Vasilopoulos, Hariclea; Hugo, Cristelle; Ritou, Eleni; Dillon, Barbara Jane; Fung, Eileen; Garcia, Gustavo; Scafoglio, Claudio; Purkayastha, Arunima; Gomperts, Brigitte; Fishbein, Gregory A; Arumugaswami, Vaithilingaraja; Liesa, Marc; Shirihai, Orian S; Kelesidis, Theodoros",
Medline; PMC,Impact of a clinical pharmacist on ultrasound-guided venous thromboembolism screening in hospitalized COVID-19 patients: a pilot prospective study,"BACKGROUND: The recognition, prevention and treatment of venous thromboembolism (VTE) remains a major challenge in the face of the recent COVID-19 pandemic which has been associated with significant cardiovascular, renal, respiratory and hematologic complications related to hypercoagulability. There has been little literature thus far on the utility of screening ultrasound and the role of the clinical pharmacist in treating these patients. METHODS: We present a prospective pilot program of thirty-one consecutive COVID-19 patients who were provided four extremity screening ultrasounds for VTE on admission. This was coordinated by a clinical pharmacist as part of a multidisciplinary approach. Quantitative and qualitative data were recorded with the goal of describing the utility of the clinical pharmacist in ultrasound screening. Data collected include demographics, information on clinical symptoms or signs at presentation, and laboratory and radiologic results during the hospitalization from each individual electronic medical record. RESULTS: Nine of the thirty-one patients presented with VTE. Of the nine patients, there were twenty-two total clotted vessels, all of which were asymptomatic. The clinical pharmacist, as the coordinator for a multidisciplinary COVID-19 associated coagulopathy management team, drafted a screening and treatment protocol for anticoagulation prophylaxis and therapy of VTE after ultrasound findings. CONCLUSION: VTE screening of hospitalized COVID-19 patients reveals a significant number of asymptomatic VTEs and justifies diagnostic, prophylactic, and treatment measures coordinated by a clinical pharmacist.",2021-04-01,"Gillespie, Laura; Khan, Rashid Z.; Stillson, John E.; Bunch, Connor M.; Shariff, Faisal Salim; Speybroeck, Jacob; Grisoli, Anne; Schmidt, Meredith Wierman; Phyu, Htay; Jablonski, Jason; Wells, Byars; Fulkerson, Daniel H.; Oancea, Lyndsay; Leiser, Abraham; Walsh, Mark",J Pharm Health Care Sci
WHO,The Effect of Eye Protection on SARS-CoV-2 Transmission: A Systematic Review (preprint),,2021,"Byambasuren, Oyungerel Beller Elaine Clark Justin Collignon Peter Glasziou Paul",
Medline; WHO,"Ten minutes with Bob Dent, Chief Nursing Officer, Emory Health System, Georgia, USA.",,2022-03-01,"Dent, Bob; Luciano, Margaret M",BMJ leader
WHO,Impact of diabetes in patients waiting for invasive cardiac procedures during COVID-19 pandemic,"BACKGROUND: During COVID-19 pandemic, elective invasive cardiac procedures (ICP) have been frequently cancelled or postponed. Consequences may be more evident in patients with diabetes. OBJECTIVES: The objective was to identify the peculiarities of patients with DM among those in whom ICP were cancelled or postponed due to the COVID-19 pandemic, as well as to identify subgroups in which the influence of DM has higher impact on the clinical outcome. METHODS: We included 2,158 patients in whom an elective ICP was cancelled or postponed during COVID-19 pandemic in 37 hospitals in Spain. Among them, 700 (32.4%) were diabetics. Patients with and without diabetes were compared. RESULTS: Patients with diabetes were older and had a higher prevalence of other cardiovascular risk factors, previous cardiovascular history and co-morbidities. Diabetics had a higher mortality (3.0% vs. 1.0%; p = 0.001) and cardiovascular mortality (1.9% vs. 0.4%; p = 0.001). Differences were especially important in patients with valvular heart disease (mortality 6.9% vs 1.7% [p < 0.001] and cardiovascular mortality 4.9% vs 0.9% [p = 0.002] in patients with and without diabetes, respectively). In the multivariable analysis, diabetes remained as an independent risk factor both for overall and cardiovascular mortality. No significant interaction was found with other clinical variables. CONCLUSION: Among patients in whom an elective invasive cardiac procedure is cancelled or postponed during COVID-19 pandemic, mortality and cardiovascular mortality is higher in patients with diabetes, irrespectively on other clinical conditions. These procedures should not be cancelled in patients with diabetes.",2021,"Moreno, Raúl; Díez, José-Luis; Diarte, José-Antonio; Salinas, Pablo; de la Torre Hernández, José María; Andres-Cordón, Juan F; Trillo, Ramiro; Briales, Juan Alonso; Amat-Santos, Ignacio; Romaguera, Rafael; Díaz, José-Francisco; Vaquerizo, Beatriz; Ojeda, Soledad; Cruz-González, Ignacio; Morena-Salas, Daniel; Pérez de Prado, Armando; Sarnago, Fernando; Portero, Pilar; Gutierrez-Barrios, Alejandro; Alfonso, Fernando; Bosch, Eduard; Pinar, Eduardo; Ruiz-Arroyo, José-Ramón; Ruiz-Quevedo, Valeriano; Jiménez-Mazuecos, Jesús; Lozano, Fernando; Rumoroso, José-Ramón; Novo, Enrique; Irazusta, Francisco J; García Del Blanco, Bruno; Moreu, José; Ballesteros-Pradas, Sara M; Frutos, Araceli; Villa, Manuel; Alegría-Barrero, Eduardo; Lázaro, Rosa; Paredes, Emilio",Cardiovasc Diabetol
Medline,Probiotic use in an infectious disease setting.,"INTRODUCTION The lethality of infectious diseases and deep concern over growing antimicrobial resistance make it essential that alternative or adjunct therapies be developed. Areas covered: Using papers published in PubMed, a case is presented to consider beneficial microbes as a means to improve management of infectious diseases. Clinical evidence is mounting that certain probiotic microbes can contribute to this armamentarium. These could have an immediate effect against necrotizing enterocolitis, pre- and post-surgical procedures, antibiotic-associated infections, urogenital infections in women and for reducing the severity and duration of respiratory infections. While further studies will always be warranted irrespective of the intervention, and quality assurance and patient safety must remain a priority, the main barrier to implementation may well be unwarranted hesitation amongst physicians, healthcare administrators and regulators. Meanwhile, patients are already taking things into their own hands at a time when their knowledge of product selection is poor and clinical guidance is invariably missing. Expert commentary: Until vaccines and other alternatives emerge, it would be foolhardy to not use best practices to bring probiotics into mainstream infectious disease management. Our ability to manipulate microbial-host interactions offers hope before the last antibiotic stops being effective.",2017,"Reid, Gregor",Expert review of anti-infective therapy
Elsevier; Medline; PMC; WHO,How to interpret the total number of SARS-CoV-2 infections,,2022-04-08,"Shioda, Kayoko; Lopman, Ben",Lancet
PMC,Zystische Fibrose (Mukoviszidose),"Mukoviszidose ist eine autosomal-rezessiv vererbte Multisystemerkrankung (v. a. Lunge, Gastrointestinaltrakt). Pathophysiologisch mangelt es an funktionstüchtigem CFTR-Protein, einem Chlorid- und Bikarbonatkanal. Die Diagnose erfolgt v. a. über Neugeborenenscreening, Schweißtest und molekulargenetische Diagnostik. Der progressive Untergang von Lungengewebe infolge von Infektion und Inflammation ist entscheidend für Morbidität und Mortalität. Pseudomonas aeruginosa ist das wichtigste Pathogen. Weitere relevante sind Burkholderia cepacia, Staphylokokken, Stenotrophomonas maltophilia, nichttuberkulöse Mykobakterien, anaerobe Bakterien, Achromobacter xyloxidans, Viren und Pilze. Der pulmonale Verlauf wird mittels Lungenfunktion, radiologischer und mikrobiologischer Diagnostik beurteilt. Therapeutische Optionen sind Antibiotika, Inhalationen mit bronchodilatativen Medikamenten und Sekretolytika, antiinflammatorische Substanzen und CFTR-Modulatoren. Die häufigsten pulmonalen Komplikationen sind Hämoptysen und Pneumothorax. Ultima Ratio ist die Lungentransplantation.",2020-06-22,"Schmitt-Grohé, Sabina; Lentze, Michael J.; Henker, Jobst",P&#x000e4;diatrie
WHO,Compulsory medical intervention versus external constraint in pandemic control,"Would compulsory treatment or vaccination for COVID-19 be justified? In England, there would be significant legal barriers to it. However, we offer a conditional ethical argument in favour of allowing compulsory treatment and vaccination, drawing on an ethical comparison with external constraints-such as quarantine, isolation and 'lockdown'-that have already been authorised to control the pandemic in this jurisdiction. We argue that, if the permissive English approach to external constraints for COVID-19 has been justified, then there is a case for a similarly permissive approach to compulsory medical interventions.",2020,"Douglas, Thomas; Forsberg, Lisa; Pugh, Jonathan",J. med. ethics
Medline,Anti-interleukin-23 agents for the treatment of ulcerative colitis.,"IntroductionTreatment of ulcerative colitis (UC) aims to control symptoms and to suppress intestinal inflammation. Despite considerable advances, a proportion of patients do not respond to currently available drugs. The interleukin (IL)-23 axis plays a significant role in the pathogenesis of UC and has thus become an important target for drug development.Areas coveredThe review briefly summarizes the pathophysiology of the IL-12/23 axis and provides a synopsis of the available evidence for efficacy and safety of ustekinumab, mirikizumab (LY3074828), risankizumab (BI655066/ABBV066), brazikumab (MEDI2070; formerly AMG139) and guselkumab (CNTO1959) in UC. We also provide an overview of ongoing and anticipated trials in this field.Expert opinionA Phase 2 trial with mirikizumab and a Phase 3 trial with ustekinumab have demonstrated the efficacy of anti-IL-23 agents in achieving clinical and endoscopic outcomes in UC with a favourable safety profile. Trials of other anti-IL-23 agents in UC are under way and designed to explore head-to-head efficacy with existing biologics, as well as the prospect of combination biological therapy. Apart from data on longer term efficacy and safety, future trials should also explore strategies to inform the positioning of IL-23 antagonists in therapeutic algorithms.",2019-11-25,"Hanžel, Jurij; D'Haens, Geert R",Expert opinion on biological therapy
WHO,Strengthening Business Integrity in the Face of the COVID-19 Crisis,"Spanish Abstract: El reto al que las empresas se enfrentan con la crisis del Covid-19 es conciliar resiliencia empresarial con responsabilidad social. El riesgo es poner una visión deformada de la resiliencia por encima de la propia integridad. Para evitar este riesgo y sacar el mayor partido a la presente crisis, proponemos tres actitudes o criterios de acción que nacen de la responsabilidad social corporativa y que pueden ayudar a salvaguardar la propia integridad en un momento como el actual: reflexionar sobre el sentido de la propia misión empresarial, fomentar una comunicación transparente que involucre a todos los stakeholders, y buscar siempre ser consistentes en cualquier decisión que se tome. Los diez principios del Pacto Mundial pueden servir de guía para evaluar la consistencia de las empresas socialmente responsables durante este periodoEnglish Abstract: The challenge that companies face with the COVID-19 crisis is to reconcile business resilience with social responsibility. The risk is putting a distorted view of resilience above integrity itself. To avoid this risk and make the most of the current crisis, we propose three attitudes or action criteria that stem from corporate social responsibility and that can help safeguard one's integrity at a time like today: reflect on the meaning of own business mission, promote transparent communication that involves all stakeholders, and always seek to be consistent in any decision that is made. The ten principles of the Global Compact can serve as a guide to assess the consistency of socially responsible companies during this period.",2020,"Fontrodona, Joan Muller Philip",
Medline,SARS-associated coronavirus quasispecies in individual patients.,,2004,"Xu, Dongping; Zhang, Zheng; Wang, Fu-Sheng",The New England journal of medicine
PMC,Correction to Lancet Infect Dis 2020; published online June 15. https://doi.org/10.1016/S1473-3099(20)30466-7,,2020-06-25,,Lancet Infect Dis
WHO,Anomalous Elderly Deaths during Ontario's 2020 Covid Pandemic (preprint),,2021,"Jowett, E. Craig",
Elsevier; Medline; PMC,Syncope as the presenting symptom of COVID-19 infection,,2020-05-05,"Ebrille, Elisa; Lucciola, Maria Teresa; Amellone, Claudia; Ballocca, Flavia; Orlando, Fabrizio; Giammaria, Massimo",HeartRhythm Case Rep
Medline; PMC,Social and structural determinants of injecting-related bacterial and fungal infections among people who inject drugs: protocol for a mixed studies systematic review,"INTRODUCTION: Injecting-related bacterial and fungal infections are a common complication among people who inject drugs (PWID), associated with significant morbidity and mortality. Invasive infections, including infective endocarditis, appear to be increasing in incidence. To date, preventive efforts have focused on modifying individual-level risk behaviours (eg, hand-washing and skin-cleaning) without much success in reducing the population-level impact of these infections. Learning from successes in HIV prevention, there may be great value in looking beyond individual-level risk behaviours to the social determinants of health. Specifically, the risk environment conceptual framework identifies how social, physical, economic and political environmental factors facilitate and constrain individual behaviour, and therefore influence health outcomes. Understanding the social and structural determinants of injecting-related bacterial and fungal infections could help to identify new targets for prevention efforts in the face of increasing incidence of severe disease. METHODS AND ANALYSIS: This is a protocol for a systematic review. We will review studies of PWID and investigate associations between risk factors (both individual-level and social/structural-level) and the incidence of hospitalisation or death due to injecting-related bacterial infections (skin and soft-tissue infections, bacteraemia, infective endocarditis, osteomyelitis, septic arthritis, epidural abscess and others). We will include quantitative, qualitative and mixed methods studies. Using directed content analysis, we will code risk factors for these infection-related outcomes according to their contributions to the risk environment in type (social, physical, economic or political) and level (microenvironmental or macroenvironmental). We will also code and present risk factors at each stage in the process of drug acquisition, preparation, injection, superficial infection care, severe infection care or hospitalisation, and outcomes after infection or hospital discharge. ETHICS AND DISSEMINATION: As an analysis of the published literature, no ethics approval is required. The findings will inform a research agenda to develop and implement social/structural interventions aimed at reducing the burden of disease. PROSPERO REGISTRATION NUMBER: CRD42021231411.",2021-08-09,"Brothers, Thomas D; Lewer, Dan; Bonn, Matthew; Webster, Duncan; Harris, Magdalena",BMJ Open
Elsevier; PMC; WHO,A commentary of Messenger RNA vaccines in MIT Technology Review 2021,"One hundred years after the 1918 influenza pandemic, the world has seen another major outbreak on a global scale. This one is caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), an enveloped positive-sense single-stranded RNA virus. According to the World Health Organization, as of June 17, 2021, there have been 176,693,988 confirmed cases of human coronavirus disease 2019 (COVID-19), resulting in 3,830,304 deaths. Vaccines are the most effective way to prevent viral infection. During this pandemic, the speed at which the vaccine progressed from research and development to application was unprecedented. As of June 15, 2021, a total of 2,377,780,590 doses of various vaccines against SARS-CoV-2 have been administered worldwide. These vaccines included the messenger RNA (mRNA) vaccine, which became famous upon their debut application in the real world and was listed as one of the ‘10 Breakthrough Technologies of 2021’ by MIT Technology Review. ① ① Original source in Chinese: H. Qi, mRNA, Bulletin of National Natural Science Foundation of China. 35 (3) (2021) 402-403.",2021-11-30,"Qi, Hai",Fundamental Research
Medline; PMC,Contagion or interdependence? Comparing spillover indices,"We propose a novel risk measure that is built on comparing high-frequency time-varying volatility and low-frequency return spillover estimates. This measure permits to identify the markets that are epidemic in their complex interdependence. We conjecture that initially a highly volatile market experiences episodes of risk transmission, but only later absorbs risk and becomes an epidemic market. Moreover, we can detect newly emerging ‘contagion’ in the system. We examine the behaviour of 30 global equity markets and compare spillover measures, which encapsulate many large and small crises episodes. Instead of relying on ex post crisis information, our model identifies crises periods. An important implication of the proposed approach is that highly interrelated markets, such as China, are less likely to transmit a global economic crisis under the current interdependence setting.",2021-12-02,"Islam, Raisul; Volkov, Vladimir",Empir Econ
Medline; PMC,"Developing a Sustainable and Circular Bio-Based Economy in EU: By Partnering Across Sectors, Upscaling and Using New Knowledge Faster, and For the Benefit of Climate, Environment & Biodiversity, and People & Business","This paper gives an overview of development of the EU-bioeconomy, 2014–2020. The Vision of the new Circular Bio-based Economy, CBE is presented: Unlocking the full potential of all types of sustainably sourced biomass, crop residues, industrial side-streams, and wastes by transforming it into value-added products. The resulting product portfolio consists of a wide spectrum of value-added products, addressing societal and consumer needs. Food and feed, bio-based chemicals, materials, health-promoting products; and bio-based fuels. The pillars of CBE are described, including biotechnology, microbial production, enzyme technology, green chemistry, integrated physical/chemical processing, policies, conducive framework conditions and public private partnerships. Drivers of CBE are analyzed: Biomass supply, biorefineries, value chain clusters, rural development, farmers, foresters and mariners; urgent need for climate change mitigation and adaptation, and stopping biodiversity loss. Improved framework conditions can be drivers but also obstacles if not updated to the era of circularity. Key figures, across the entire BBI-JU project portfolio (2014–2020) are provided, including expansion into biomass feedstocks, terrestrial and aquatic, and an impressive broadening of bio-based product portfolio, including higher-value, health-promoting products for man, animal, plants and soil. Parallel to this, diversification of industrial segments and types of funding instruments developed, reflecting industrial needs and academic research involvement. Impact assessment is highlighted. A number of specific recommendations are given; e.g., including international win/win CBE-collaborations, as e.g., expanding African EU collaboration into CBE. In contrast to fossil resources biological resources are found worldwide. In its outset, circular bio-based economy, can be implemented all over, in a just manner, not the least stimulating rural development.",2021-01-21,"Lange, Lene; Connor, Kevin O.; Arason, Sigurjon; Bundgård-Jørgensen, Uffe; Canalis, Antonella; Carrez, Dirk; Gallagher, Joe; Gøtke, Niels; Huyghe, Christian; Jarry, Bruno; Llorente, Pilar; Marinova, Mariya; Martins, Ligia O.; Mengal, Philippe; Paiano, Paola; Panoutsou, Calliope; Rodrigues, Ligia; Stengel, Dagmar B.; van der Meer, Yvonne; Vieira, Helena",Front Bioeng Biotechnol
Medline; PMC,Low titers of SARS-CoV-2 neutralizing antibodies after first vaccination dose in cancer patients receiving checkpoint inhibitors,"Vaccination for SARS-CoV-2 provides significant protection against the infection in the general population. However, only limited data exist for patients with cancer under systemic therapy. Based on this, our site has initiated a study evaluating safety and efficacy of SARS-CoV-2 vaccination in patients with solid and hematological malignancies under several systemic therapies. The initial results of the cohort of 59 patients receiving Immune Checkpoint Inhibitors are presented here. Despite no new safety issues have been noticed, the levels of SARS-CoV-2 neutralizing antibodies are significantly lower in comparison to matched healthy volunteers up to day 22 post the first dose. These results should be taken into consideration for the patients under treatment. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s13045-021-01099-x.",2021-05-31,"Terpos, Evangelos; Zagouri, Flora; Liontos, Michalis; Sklirou, Aimilia D.; Koutsoukos, Konstantinos; Markellos, Christos; Briasoulis, Alexandros; Papanagnou, Eleni-Dimitra; Trougakos, Ioannis P.; Dimopoulos, Meletios-Athanasios",J Hematol Oncol
WHO,Telemedicine in Peru as a Result of the COVID-19 Pandemic: Perspective from a Country with Limited Internet Access,"The COVID-19 pandemic contributed to the worldwide implementation of telemedicine because of the need for medical care for patients, especially those with chronic diseases. This perspective paper presents the current situation of telemedicine in Peru, showing advances in regulation, cases of successful implementation, and the current challenges. Access to health should be available to all, and more efforts need to be implemented to offer access to the internet to achieve high-quality telemedicine to all the vulnerable groups in Peru.",2021,"Alvarez-Risco, Aldo; Del-Aguila-Arcentales, Shyla; Yáñez, Jaime A",Am. j. trop. med. hyg
Medline,A transdisciplinary approach to snakebite envenoming.,,2022-03-01,"Ruiz de Castañeda, Rafael; Bolon, Isabelle; Gutiérrez, José María",Toxicon: X
WHO,Understanding seizure risk with wide field fundus photography: Implications for screening guidelines in the era of COVID-19 and telemedicine,"Purpose: To report two cases of photosensitive seizures due to fundus photography flash. Observations: Two patients with seizure history present to a retina clinic for routine follow up. While obtaining imaging, these patients experienced a seizure triggered by fundus camera flash. Conclusions: Fundus photography is essential and ubiquitous amongst optometry and ophthalmology practices, especially in the rising era of telemedicine in the setting of the recent COVID-19 pandemic. To our knowledge, there are no other reports in the literature of seizures triggered by fundus photography flash. However, we believe this to be an under-reported phenomenon and suggest that all eye care providers screen patients for a history of seizures or epilepsy prior to fundus photography.",2020,"Hua, Hong-Uyen; Pieramici, Dante J; Bagheri, Nika",Am J Ophthalmol Case Rep
Medline; PMC; WHO,"Reliably quantifying the evolving worldwide dynamic state of the COVID-19 outbreak from death records, clinical parametrization, and demographic data","The dynamic characterization of the COVID-19 outbreak is critical to implement effective actions for its control and eradication but the information available at a global scale is not sufficiently reliable to be used directly. Here, we develop a quantitative approach to reliably quantify its temporal evolution and controllability through the integration of multiple data sources, including death records, clinical parametrization of the disease, and demographic data, and we explicitly apply it to countries worldwide, covering 97.4% of the human population, and to states within the United States (US). The validation of the approach shows that it can accurately reproduce the available prevalence data and that it can precisely infer the timing of nonpharmaceutical interventions. The results of the analysis identified general patterns of recession, stabilization, and resurgence. The diversity of dynamic behaviors of the outbreak across countries is paralleled by those of states and territories in the US, converging to remarkably similar global states in both cases. Our results offer precise insights into the dynamics of the outbreak and an efficient avenue for the estimation of the prevalence rates over time.",2021-10-07,"Vilar, Jose M. G.; Saiz, Leonor",Sci Rep
WHO,"Acute cardiac injury is associated with adverse outcomes, including mortality in COVID-19 patients","Objectives: To evaluate acute cardiac injury in COVID-19 patients and its association with adverse outcomes including mortality in the United Arab Emirates (UAE) population Methods: A retrospective study conducted between February and June 2020 in Dubai, UAE, for all laboratory-confirmed Coronavirus disease-19 patients Demographic, clinical, laboratory, radiological, and clinical outcomes were compared between patients with and without acute cardiac injury Results: During the study period, 203 patients were included, of which, 44 (21 7%) had evidence of acute cardiac injury Compared with patients without acute cardiac injury, patients with acute cardiac injury were: older, had more shortness of breath, diabetes, hypertension, and more bilateral airspace shadowing on admission chest radiography These patients also had a higher neutrophil count, C-reactive protein, procalcitonin, ferritin, D-dimers and lactate dehydrogenase but lower lymphocyte count Regarding outcomes, these patients had higher intensive care admissions;a higher rate of complications including acute kidney and liver injury, acidosis, septic shock, acute respiratory distress syndrome, needed more mechanical ventilation, and had a significantly higher risk of death Conclusion: Acute cardiac injury is common among Coronavirus disease-19 patients These patients present with higher comorbidities, have high inflammatory markers and have greater risk for in-hospital multi-organ damage, need for mechanical ventilation, and death Prompt full assessment and intervention are recommended",2020,"Naeem, Kashif B.; Hachim, Mahmood Y.; Hachim, Ibrahim Y.; Chkhis, Ayman Quadros Rajesh Hannawi Haifa Al Salmi Issa Fahdah Alokaily Hannawi Suad",Saudi Medical Journal
PMC,"Nieuwe ronde, nieuwe kansen",,2021-04-09,"de Winter, Pierre; van de Poel, Philip",Skipr
Medline,Resection of esophageal diverticulum through uniportal video-assisted thoracoscopic surgery.,"Open surgery remains the standard strategy for management of esophageal diverticulum in symptomatic patients. However, in the last years an increasing number of minimally invasive approaches have been proposed for this issue in order to reduce the surgical trauma and favor a fast return to daily activity. Herein, we describe a novel technique as uniportal video-assisted thoracoscopic surgery (VATS) for performing resection of esophageal diverticulum. This procedure was successfully carried out in three consecutive patients with giant mid-esophageal diverticulum (mean size: 6.5±0.5 cm). The mean post-operative time was 121±10 minutes. The chest drain was removed 48 hours later in all cases and the mean length of hospital stay was 9±1 days. No intraoperative neither postoperative complications were found in all patients but one. He had a small fistula 15 days later that was successfully treated with stent insertion. No recurrence of diverticulum was seen in all cases. Uniportal VATS is a feasible procedure that in theory could reduce the surgical trauma compared to standard open approach. However, future prospective studies should corroborate our impression before it can be recommended as acceptable therapy.",2018,"Fiorelli, Alfonso; Izzo, Anna Cecilia; Arrigo, Ettore; Sgalambro, Francesco; Lepore, Maria Antonietta; Cajozzo, Massimo; Castorina, Sergio; Lo Monte, Attilio Ignazio; Santini, Mario; Caronia, Francesco Paolo",Annals of translational medicine
